key,summary
GENSIX-71141,[Settings]: String Value is Displayed in Vehicle Settings Screen.
GENSIX-71081,[Popup] : Delete popup is not getting closed on short press on CCP Menu H/K.
GENSIX-71078,[Radio] Radio scanning icon is not proper while scanning
GENSIX-71077,[Keypad] Dual Focus is observed in Setup Search Keypad Screen.
GENSIX-71073,[Voice Memo]:Able to Enter into System Info Screen When Call is an Hold State.
GENSIX-71072,[setup]Menu options are closing after performing the display on->Off in device connection screen
GENSIX-71070,[Keypad] Alignment issue is Observed in Setup Search Keypad Screen.
GENSIX-71069,[Setting]:Link Popup is getting Displayed On Previous Screen On Performing RVC ON/OFF.
GENSIX-71067,[USM] String Value is Displayed in Vehicle Settings Screen.
GENSIX-71064,[Quite Mode] : Dual focus is observed in Quite mode screen.
GENSIX-71058,[Bluetooth]:Screen is Exiting to Home Screen When Call is an Hold State On Bluetooth Setting Screen.
GENSIX-71057,"[Navi]:""Focus is shifting to other option on performing display Off/On ."""
GENSIX-71055,[Setup] Screen is transiting to one depth back on performing display off/on in general setting screen when call is on background.
GENSIX-71047,[Keypad]Alignment issue is observed in the search keypad
GENSIX-71026,[Navigation] Menu options are not getting scrolled quickly after pressing the CCP UP HK
GENSIX-71025,[Settings] No focus observed in display settings screen after pressing right button in CCP dial pad
GENSIX-71021,[Popup]Focus is disappearing upon pressing CCP enter h/k
GENSIX-71019,[Popup] : Screen is transiting to media screen in sound settings screen.
GENSIX-71018,[Navigation] No focus is observed on Satellite status screen on performing operation through RRC in rear monitor.
GENSIX-71015,[Popup] : Inconsistance behavior is observed settings screen.
GENSIX-71014,"[Rear Display] : ""Unavailable. Front Seat Used by Another Device"" Toast Message is getting Displayed Twice"
GENSIX-70999,"[Profile] The ""Maximum input"" popup is getting displayed on ""Saftey warning screen""."
GENSIX-70992,[Keypad] Capslock is not getting changed after the first entry in the keypad screen.
GENSIX-70990,[Keypad] Able to give input through CCP touchpad in input search field
GENSIX-70989,[Home]: Dual Focus is observed in Home screen upon RVC on and off.
GENSIX-70988,[Settings]Active sound design option is not displayed as per spec
